E
VERSIO 3.3
SELLO
FECEXP   2022-02-07T10:14:36
SERFOL ALIME
NUMFOL 8
CVETIPDOC T
TIPDOC 7
TIPMON XXX
TIPCAM 1
RFCEMI AKO971007558
NOMEMI ALIMENTOS KOWI SA DE CV
CVEREGIMEN 601
CALEMI CARRETERA FEDERAL MEXICO-NOGALES
COLEMI GUAYMITAS
MUNEMI NAVOJOA
ESTEMI SONORA
PAIEMI MEXICO
CODEMI 85230
TIPCOM T

RFCREC AKO971007558
NOMREC ALIMENTOS KOWI SA DE CV
USOCFDI P01
CALREC CARRETERA FEDERAL MEXICO-NOGALES
COLREC GUAYMITAS
MUNREC NAVOJOA
ESTREC SONORA
PAIREC MEXICO
CODREC 85230
CODLUGEXP 85230
D
CANTID 68
NUMLIN 1
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI TOCINO N
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 852
NUMLIN 2
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI PIERNA S/H PULPA VAC
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 38
NUMLIN 3
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI CARNE MOLIDA CASERA
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 90
NUMLIN 4
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI CHULETA F
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
